streams;artist_name;track_name;date
187124358;Young A.C.;Jewelz On (feat. Gorilla Zoe);11.6.2021
429540588;ILoveMakonnen;Love;19.8.2022
382209473;Солоинк Эпик;Мой бог;16.8.2011
303838750;General Ghost;Nightwalker;17.11.2019
134886111;Vivaz Danilo Secli & Santoro feat. Cesco & Puccia;Zimba;11.8.2017
405847222;XUITCASECITY;Famous;21.6.2023
292195200;Joe Walsh;Life's Been Good;15.5.2023
130420535;Luisa-Sophie;If You Should Ever Go (Castles Turn to Sand);2.1.2023
250334827;unknown;Act 2: La belle un mot;1.1.2011
608636666;Axis;Over You;11.1.2023
452886875;Psychic Ills;East;20.4.2007
317611304;Violinbwoy;Jah Horns Dub;2.6.2023
260830000;Razika;Første gangen om igjen;2.12.2022
365247500;Superheaven;Downswing;22.5.2023
303401250;The Soup Dragons;I'm Free;1.1.2017
365094500;cheezystack;Lil Nigga;20.7.2022
303413750;Night Dreamers;D.i.s.c.o.;31.1.2017
456557500;Le French;Einfach;19.5.2023
456565625;Jeff Golub;Slinky;1.6.2023
267660740;Shane Dawson;I Am Everything;1.1.2002
251912758;Gym Class Heroes;Live A Little;13.7.2023
242708333;Il Bambino di Napoli;L'Italiano;24.11.2016
365057000;Max Him;Japanese Girl;6.5.2022
452133750;Zonder;hisatsinom;1.1.2004
331373636;unknown;Будем танцевать;10.5.2019
202883333;unknown;Песенка музыкальных охотников;27.1.2023
149088571;Alison Vardy;Streets Of London / Pachelbel's Canon;30.6.2023
456561875;Golden Blue;Brian;26.5.2023
290242400;Wormrot;Blockhead Fuck Off;1.1.2010
608655000;Dr Fresch;151;2.2.2023
519053571;16yrold;Up Next;5.12.2012
251878275;Softcore Express;La Cumparsita;4.4.2023
456347500;unknown;Рисунками;17.6.2022
279500769;LETAY;Better Not to See You;1.1.2013
169697906;Chill Out Music 2017;Hideaway [Kiesza Cover];19.3.2021
383773157;Tomorrowland;Sunbeam;4.10.2019
260848571;Michael Ganian;I Am in Heaven;23.1.2023
268002962;Сергей Дружко;Ты у меня одна;13.7.2004
139979038;Musica para Meditar;The Dawn Chorus Of Binaural Beats;4.4.2016
362803000;Sechem;Era of Martyrs;1.1.2010
486224666;OD Odyssey;Candy;20.3.2020
453593750;Joe Maize;So Glad;25.5.2010
397638333;unknown;Rising Love;6.1.1983
269431111;The Fire Men;Hole in My Head;2.2.2015
483980666;Luka Sol;Unknown;1.1.2011
558980769;Thepour;Castle;5.12.2012
383511578;Cantrell;Keep Yappin;25.5.2018
429709411;Aeone;Umbra Nihili;2.6.2023
346048571;unknown;Freak Distrikt;1.1.2013
403520000;unknown;White Panda;1.1.2012
260876785;Jacintha;Shadow of Your Smile;12.4.2023
364063000;unknown;Капля теплоты;25.11.2016
227208437;Rolf Zielke;In the Chains of Fate;1.1.2014
346048571;Chaigo;Had Some Drinks;1.1.2013
521475714;Signs;Paper Bag;19.3.2022
364084000;Simona;Sei nell'anima;6.1.2017
196591081;Boundless;Carol of the Bells (Dubstep);17.11.2014
486910666;Dcmc;Долго-долго;13.1.2023
211557352;Johnny Nightmare;The Gun in My Hand;21.9.1992
331446818;unknown;Быть счастливым;18.10.2019
269719259;Jun Takahira;Kokoro No Chizu;21.3.2017
80273846;Giorgi Latso & Anna Fedorova-Latso;Sonata for Piano Four-Hands in C Major K. 521: I. Allegro;19.5.2023
291211600;Дмитрий Дан;Люди не ангелы;20.8.2016
291653600;Елена Коханова;Вальс-шутка;30.8.2019
154384255;Christina Petrowska Quilico;Gondola I: Gondola I;1.1.2010
363478500;Diamond Rio;I Believe;13.9.2013
260835000;Дата Карчава;Птичка невеличка;16.12.2022
165845909;Mike Teezy;Still Have Hope (feat. Dre Murray);9.4.2021
317440869;Human Tetris;Warm Memory;6.5.2022
405856111;Lorne;Oil and Water;7.7.2023
191920526;Maxine Sullivan;How Do I Know It's Real;10.2.2020
507462142;unknown;unknown;1.7.1968
219941212;Rave Allstars;Raving With The Best;20.7.2010
221367272;Universe Infinity;Catch of My Life;8.6.2023
